athlete_id;Navn;Fødselsår;Første resultatår;Siste resultatår;Alder ved første;Alder ved siste
959d915b-79ec-4faa-ab6c-17c9d45230f9;Markus Einan;2013;2013;2013;0;0
caf2fa40-c7af-4f69-ae1b-b85139a29225;Marthe Lien;2011;2013;2025;2;14
0985bf51-a9c8-469c-b62f-e5b087ec03a5;Martine Eikemo Borge;1990;1990;2016;0;26
3a103340-6fc3-48d8-a60c-13f92de79acf;Martine Eikemo Borge;2006;2006;2006;0;0
4ba41bd6-5637-4f2a-bd75-f3eaff952470;Mathias Johansen;2008;2011;2026;3;18
bbb25dbd-e531-4452-8c61-b71d1c5d803a;Nahom Tesfalem Tewelde (ERI);2021;2021;2021;0;0
60d935e9-e47a-494c-b376-2f8c4a7fa504;Nikolai Solum;2021;2021;2021;0;0
87bba08e-ab81-4e2a-8bd4-2b94041bf74b;Nils Fixdal;1889;2011;2013;122;124
11dbf6db-52fb-4662-ac6a-3125a208c54c;Oda Grindheim;2011;2014;2025;3;14
46e7c562-7a5f-42cc-8f8a-9bce6964821d;Oda Jensen;2010;2010;2023;0;13
1c80931d-4813-401a-824a-e03ab57c8c37;Olaf Frogner;1891;2017;2018;126;127
171698c8-0b50-46b8-bd2b-f6a2214193ca;Olav Rustad;1894;2015;2016;121;122
0661682e-2b7a-4fc9-a51f-d83a7942d1c6;Per Erik Bernts;1985;1972;1972;-13;-13
d9179d84-23a6-4a7a-b059-7c920dfeaa53;Petter Rekdal;1999;1969;2015;-30;16
aa36acaa-7511-4f65-a4f1-652e886e298d;Reidar Gullichsen;1895;2023;2023;128;128
aec00d34-c8bd-4164-92a6-a940fd86f4fd;Reidar Jørgensen;1953;1930;1930;-23;-23
df4a2b05-d08f-4f72-96b4-7f74827af34d;Richard Nuland;1901;2024;2024;123;123
ec3f6795-e2d0-4833-880b-0869579ce7f2;Rikke Schau Olsen;1988;1988;1988;0;0
f9950604-dfcc-40aa-9770-1ebe8755fc58;Sander Eriksen;2011;2011;2024;0;13
f8eeca68-0473-44eb-81fb-618f40d0d599;Sondre Loftås Kåstad;2013;2013;2013;0;0
facc64a8-db51-4d92-9fb5-6f08cd758be5;Sondre Martinsen;2017;2017;2017;0;0
aa3d52d5-ec2d-499d-86a0-bac09555a787;Svein Høgemark;1979;1983;1983;4;4
f7def627-c98b-4780-a851-3d08c54e9d7b;Sverre Helgesen;1903;1926;2025;23;122
a810d4d9-495f-4380-97d5-401a03d1cfe8;Sverre Øverby;1959;1956;1956;-3;-3
61f12038-fad5-4671-b392-84e389cffff8;Thale Leirfall Bremset;1999;2002;2026;3;27
8b614df6-cf85-49eb-a4dd-ce4b711de23c;Thomas Nilssen;2010;2013;2024;3;14
7d18d76c-17a0-43cd-a0bf-66600ce87162;Thorolf Mørch;1891;2012;2012;121;121
427ff9d2-170e-49f2-b072-69f4ca8f2a5c;Thorvald Knudsen;1895;2023;2023;128;128
33c0c243-3d5f-4171-bfd4-0285805e32c8;Thure Lund;1916;1941;2025;25;109
e7912158-54f8-4ce0-bef4-9c9572844201;Tomine Svendheim;2020;2020;2020;0;0
eaa83155-9cd5-4902-bd62-58f678cc5b65;Tore Dahler Halvorsen;1970;1967;1985;-3;15
422c47ae-6904-4cc8-8aba-f67290a5584b;Tore Johnsen;1990;1994;1994;4;4
05b2eb8b-d201-40b1-bf4c-46d85c5d0878;Torunn Sandvoll;1981;1981;1981;0;0
9753e657-58e2-4c5f-b080-fc24877a3eec;Vetle Raa Ellingsen;2018;2018;2018;0;0
113b7c5d-8048-4b92-a78f-a337ae1783ce;Vilde Vaage Henriksen;2018;2018;2018;0;0
